Index;Id;Proyecto;NUP;Empresa Solicitante;Tipo;Estado Solicitud;Fecha Recepción;Capacidad [MW];Tipo Proyecto;Sólo BESS;BESS+Solar;BESS+Eólico;Capacidad BESS (MW);Cap. BESS + Solar (MWh);Cap. BESS+ Eolico (MWh);Número de Hrs almacenamiento;Fecha Estimada Conexión;Punto de Conexión;Nivel de tension;Barra;Paño;Región;Comuna;Segmento de Transmisión;Fecha emisión informe definitivo;Plazo obtención declaración en const;Prórroga plazo obtención declaración en const.
37;1590;PFV Bellavista Norte;4374;Bellavista Solar SpA.;SAC;Evaluación de antecedentes y/o requerimientos;4 de septiembre de 2023 15:31;100;Híbrido;-;x;-;;;;;29 de enero de 2027 00:00;S/E Los Maquis (CGE) 66 kV;66;Barra Principal;B6;Maule;Río Claro;Zonal;;;
38;1584;Parque Fotovoltaico Sol de Varas;4366;AustrianSolar Chile Tres SpA;SUCTD;Audiencia y antecedentes adicionales;31 de agosto de 2023 10:47;100.8;Híbrido;-;x;-;;;;;30 de noviembre de 2026 00:00;S/E Central Luz del Norte 220 kV;220;Barra Principal;por definir;Atacama;Copiapó;Dedicada;;;
39;1583;Parque Fotovoltaico Sol de Atacama;4365;AustrianSolar Chile Dos SpA;SUCTD;Audiencia y antecedentes adicionales;31 de agosto de 2023 10:34;80;Híbrido;-;x;-;;;;;30 de noviembre de 2025 00:00;Línea 1x110 kV Mantoverde - Planta de Bombeo N°2;110;Principal;H3;Atacama;Chañaral;Dedicada;;;
41;1577;PFV Los Boldos;4360;Longotoma Solar SpA.;SAC;Evaluación de antecedentes y/o requerimientos;28 de agosto de 2023 10:12;336;Híbrido;-;x;-;;;;;29 de enero de 2027 00:00;Nueva S/E La Ligua 220 kV;220;Barra principal No 1 y 2;J11-J12;Valparaiso;La Ligua;Zonal;;;
54;1523;Solar Oriente;4169;Aes Chile Inversiones Renovables SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;14 de junio de 2023 16:21;500;Híbrido;-;x;-;;;;;5 de febrero de 2029 00:00;S/E Nueva Lagunas 220 kV;220;interruptor y medio;por definir;Tarapacá;Pozo Almonte;Nacional;;;
62;1480;Llanos del Sol;4121;Aes Chile Inversiones Renovables SpA;SAC;Elaboración Informe de Autorización de Conexión Preliminar;23 de mayo de 2023 13:01;400;Híbrido;-;x;-;;;;;5 de septiembre de 2028 00:00;S/E San Simón 220 kV;220;Interruptor y Medio;J6;Tarapacá;Pozo Almonte;Nacional;;;
64;1475;PSF BESS Cullipeumo;4116;Orion Power SpA.;SAC;Desarrollo de estudios y/o antecedentes;16 de mayo de 2023 11:49;110;Híbrido;-;x;-;;;;;30 de junio de 2027 00:00;S/E Fátima 154 kV;154;Doble barra, barra de transferencia;Barra N°2, AT5, barra de transferencia;Metropolitana de Santiago;Buin;Nacional;;;
77;1341;Parque Solar Las Frutillas;3816;Eléctrica Las Frutillas SpA.;SAC;Proyecto autorizado para declararse en construcción;18 de noviembre de 2022 16:01;110;Híbrido;-;x;-;;;;;30 de septiembre de 2027 00:00;S/E Las Arañas 66 kV;66;Barra 1 y Barra 2;B6 y B7;Metropolitana de Santiago;San Pedro;Zonal;08/08/2023 16:46:50;08/2025;
78;1321;AR Ñiquen Solar;3750;AR ENERGIA CHILE SPA;SAC;Detenida a la espera de definición de ingeniería de la obra;26 de octubre de 2022 17:40;90;Híbrido;-;x;-;;;;;1 de abril de 2028 00:00;S/E Seccionadora Buli 66kV;66;Barra principal;B3;Ñuble;San Carlos;Nacional;;;
79;1265;PV Rancho (ex Buenavista Solar);3674;Enel Green Power del Sur ;SAC;Detenida a la espera de definición de ingeniería de la obra;14 de septiembre de 2022 17:23;140;Híbrido;-;x;-;;;;;7 de enero de 2027 00:00;S/E Seccionadora Buenavista 154 kV;154;Doble Barra;A5;Libertador General Bernardo OHiggins;Placilla;Nacional;;;
80;1252;Híbrido La Manda;3663;Trivento SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;14 de septiembre de 2022 16:45;410;Híbrido;-;x;x;;;;;Fecha inválida;S/E Don Goyo 220 kV;220;Barra con Transferencia;J7;Coquimbo;Ovalle;Nacional;;;
81;1230;Apolo;3616;Membrillo SpA;SUCTD;Audiencia y antecedentes adicionales;17 de agosto de 2022 17:38;80;Híbrido;-;x;-;24;104;;4,3;Fecha inválida;"Línea 2x220kV Puente Negro –La Higuera	";220;Derivacion;Circuito Norte;Libertador General Bernardo OHiggins;San Fernando;Dedicada;;;
82;1183;Parque Solar Fotovoltaico Dédalo;3496;Enel Green Power del Sur ;SAC;Proyecto autorizado para declararse en construcción;10 de junio de 2022 15:51;500;Híbrido;-;x;-;200;700;;3,5;10 de enero de 2026 00:00;S/E Laberinto 220 kV;220;Doble Barra;J14;Antofagasta;Sierra Gorda;Nacional;19/06/2023 18:11:16;04/2025;
87;1103;PH Curauma I;3301;EBCO Energía S.A.;SAC;Elaboración Informe de Autorización de Conexión Preliminar;2 de febrero de 2022 13:50;200;Híbrido;-;x;x;;;;;30 de septiembre de 2025 00:00;S/E Agua Santa 110;110;Barra Principal;H17-H18;Valparaiso;Viña del Mar;Nacional;;;
88;1095;Cerro de Roco;3157;Enel Green Power del Sur ;SUCTD;Elaboración Informe CTD preliminar;30 de diciembre de 2021 16:51;75;Híbrido;-;x;-;;;;;28 de febrero de 2026 00:00;Cerro Negro Norte - Totoralillo C1;220;Conexión en Derivación ;J1, por definir;Atacama;Copiapó;Dedicada;;;
89;1089;Llanos de Chulo;3139;Enel Green Power del Sur ;SAC;Evaluación de antecedentes y/o requerimientos;20 de diciembre de 2021 12:34;410;Híbrido;-;x;-;100;510;;5,1;1 de junio de 2026 00:00;S/E Seccionadora San Andrés;220;Interruptor y Medio;Paño J12 y J13;Atacama;Copiapó;Nacional;;;
91;1067;La Aguada ;3086;Enel Green Power del Sur ;SAC;Evaluación de antecedentes y/o requerimientos;18 de noviembre de 2021 20:23;500;Híbrido;-;x;-;100;600;;6;1 de diciembre de 2024 00:00;Portezuelo 220 kV ;220;Interruptor y Medio ;Media diagonal J7 y J8 (Referencial);Libertador General Bernardo OHiggins;Peralillo;Nacional;;;
92;1063;Lalackama III;3053;Enel Green Power del Sur ;SUCTD;Audiencia y antecedentes adicionales;4 de noviembre de 2021 20:37;205;Híbrido;-;x;-;;;;;1 de julio de 2024 00:00;S/E Central Lalackama 220 kV;220;Barra principal;JT2;Antofagasta;Antofagasta;Dedicada;;;
